customer_id,first_name,last_name,rental_date,return_date,film_title,inventory_id
431,JOEL,FRANCISCO,2005-07-08 19:03:15,2005-07-11 21:29:15,ACADEMY DINOSAUR,1
518,GABRIEL,HARDER,2005-08-02 20:13:10,2005-08-11 21:35:10,ACADEMY DINOSAUR,1
279,DIANNE,SHELTON,2005-08-21 21:27:43,2005-08-30 22:26:43,ACADEMY DINOSAUR,1
411,NORMAN,CURRIER,2005-05-30 20:21:07,2005-06-06 00:36:07,ACADEMY DINOSAUR,2
170,BEATRICE,ARNOLD,2005-06-17 20:24:00,2005-06-23 17:45:00,ACADEMY DINOSAUR,2
161,GERALDINE,PERKINS,2005-07-07 10:41:31,2005-07-11 06:25:31,ACADEMY DINOSAUR,2
581,VIRGIL,WOFFORD,2005-07-30 22:02:34,2005-08-06 02:09:34,ACADEMY DINOSAUR,2
359,WILLIE,MARKHAM,2005-08-23 01:01:01,2005-08-30 20:08:01,ACADEMY DINOSAUR,2
39,DEBRA,NELSON,2005-07-31 21:36:07,2005-08-03 23:59:07,ACADEMY DINOSAUR,3
541,DARREN,WINDHAM,2005-08-22 23:56:37,2005-08-25 18:58:37,ACADEMY DINOSAUR,3
301,ROBERT,BAUGHMAN,2005-08-02 00:47:19,2005-08-03 00:02:19,ACADEMY DINOSAUR,4
344,HENRY,BILLINGSLEY,2005-08-21 18:32:42,2005-08-23 21:09:42,ACADEMY DINOSAUR,4
587,SERGIO,STANFIELD,2005-05-27 07:03:28,2005-05-31 08:01:28,ACADEMY DINOSAUR,6
597,FREDDIE,DUGGAN,2005-06-21 00:30:26,2005-06-28 03:42:26,ACADEMY DINOSAUR,6
44,MARIE,TURNER,2005-07-07 20:59:06,2005-07-09 00:04:06,ACADEMY DINOSAUR,6
252,MATTIE,HOFFMAN,2005-07-27 07:51:11,2005-08-01 04:08:11,ACADEMY DINOSAUR,6
554,DWAYNE,OLVERA,2005-08-21 00:30:32,,ACADEMY DINOSAUR,6
345,CARL,ARTIS,2005-06-15 02:57:51,2005-06-20 01:41:51,ACADEMY DINOSAUR,7
406,NATHAN,RUNYON,2005-07-10 13:07:31,2005-07-16 13:03:31,ACADEMY DINOSAUR,7
487,HECTOR,POINDEXTER,2005-07-29 09:41:38,2005-08-05 05:30:38,ACADEMY DINOSAUR,7
92,TINA,SIMMONS,2005-08-22 00:44:08,2005-08-27 02:18:08,ACADEMY DINOSAUR,7
8,SUSAN,WILSON,2005-07-31 22:08:29,2005-08-06 16:59:29,ACADEMY DINOSAUR,8
34,REBECCA,SCOTT,2005-08-18 18:36:16,2005-08-22 22:01:16,ACADEMY DINOSAUR,8
271,PENNY,NEAL,2005-08-01 04:24:47,2005-08-04 05:36:47,ACE GOLDFINGER,9
366,BRANDON,HUEY,2006-02-14 15:16:03,,ACE GOLDFINGER,9
145,LUCILLE,HOLMES,2005-07-07 19:46:51,2005-07-08 21:55:51,ACE GOLDFINGER,10
82,KATHRYN,COLEMAN,2005-07-28 05:04:47,2005-08-05 05:12:47,ACE GOLDFINGER,10
139,AMBER,DIXON,2005-08-22 16:59:05,2005-08-30 17:01:05,ACE GOLDFINGER,10
180,STACY,CUNNINGHAM,2005-08-02 04:41:17,2005-08-09 02:13:17,ACE GOLDFINGER,11
533,JESSIE,MILAM,2005-08-17 09:33:02,2005-08-24 05:03:02,ACE GOLDFINGER,11
224,PEARL,GARZA,2005-07-27 01:21:19,2005-07-29 20:33:19,ADAPTATION HOLES,12
417,TRAVIS,ESTEP,2005-08-22 03:52:21,2005-08-25 04:50:21,ADAPTATION HOLES,12
247,STELLA,MORENO,2005-08-02 15:45:10,2005-08-03 21:14:10,ADAPTATION HOLES,13
269,CASSANDRA,WALTERS,2005-08-23 13:54:39,2005-08-26 10:17:39,ADAPTATION HOLES,13
25,DEBORAH,WALKER,2005-05-31 04:50:07,2005-06-02 01:53:07,ADAPTATION HOLES,14
100,ROBIN,HAYES,2005-06-15 18:17:28,2005-06-16 15:47:28,ADAPTATION HOLES,14
277,OLGA,JIMENEZ,2005-07-06 19:11:43,2005-07-11 21:50:43,ADAPTATION HOLES,14
